BEG_SCH_YR,DIVISION NAME,DIVISION NUMBER,SCHOOL NAME,SCHOOL NUMBER,LOW GRADE,HIGH GRADE,FOCUS AREA
2018,Accomack County Public Schools,1,Accawmacke Elementary,701,PK,5,Title I - Schoolwide
2018,Accomack County Public Schools,1,Arcadia Middle ,704,6,8,Title I - Schoolwide
2018,Accomack County Public Schools,1,Kegotank Elementary,600,PK,5,Title I - Schoolwide
2018,Accomack County Public Schools,1,Metompkin Elementary,702,PK,5,Title I - Schoolwide
2018,Accomack County Public Schools,1,Nandua Middle,703,6,8,Title I - Schoolwide
2018,Accomack County Public Schools,1,Pungoteague Elementary,590,PK,5,Title I - Schoolwide
2018,Albemarle County Public Schools,2,Agnor-Hurt Elementary,160,PK,5,Title I - Targeted Assistance
2018,Albemarle County Public Schools,2,Mary Carr Greer Elementary,40,PK,5,Title I - Targeted Assistance
2018,Albemarle County Public Schools,2,Paul H. Cale Elementary,150,PK,5,Title I - Targeted Assistance
2018,Albemarle County Public Schools,2,Red Hill Elementary,540,PK,5,Title I - Targeted Assistance
2018,Albemarle County Public Schools,2,Scottsville Elementary,30,PK,5,Title I - Targeted Assistance
2018,Albemarle County Public Schools,2,Woodbrook Elementary,930,PK,5,Title I - Targeted Assistance
2018,Alexandria City Public Schools,101,Cora Kelly Magnet Elementary,160,PK,5,Title I - Schoolwide
2018,Alexandria City Public Schools,101,Ferdinand T. Day Elementary,350,KG,5,Title I - Schoolwide
2018,Alexandria City Public Schools,101,Francis C. Hammond Middle,140,6,8,Title I - Schoolwide
2018,Alexandria City Public Schools,101,James K. Polk Elementary,220,KG,5,Title I - Schoolwide
2018,Alexandria City Public Schools,101,Jefferson-Houston Elementary,90,PK,8,Title I - Schoolwide
2018,Alexandria City Public Schools,101,John Adams Elementary,230,PK,5,Title I - Schoolwide
2018,Alexandria City Public Schools,101,Patrick Henry Elementary,50,KG,7,Title I - Schoolwide
2018,Alexandria City Public Schools,101,William Ramsay Elementary,190,KG,5,Title I - Schoolwide
2018,Alleghany County Public Schools,3,Callaghan Elementary,110,KG,5,Title I - Schoolwide
2018,Alleghany County Public Schools,3,Mountain View Elementary,1041,KG,5,Title I - Schoolwide
2018,Alleghany County Public Schools,3,Sharon Elementary,90,KG,5,Title I - Schoolwide
2018,Amelia County Public Schools,4,Amelia County Elementary,220,PK,4,Title I - Schoolwide
2018,Amherst County Public Schools,5,Amelon Elementary,780,PK,5,Title I - Schoolwide
2018,Amherst County Public Schools,5,Amherst Elementary,790,PK,5,Title I - Schoolwide
2018,Amherst County Public Schools,5,Central Elementary,770,PK,5,Title I - Schoolwide
2018,Amherst County Public Schools,5,Madison Heights Elementary,500,PK,5,Title I - Schoolwide
2018,Amherst County Public Schools,5,Temperance Elementary,740,PK,5,Title I - Schoolwide
2018,Appomattox County Public Schools,6,Appomattox Elementary,110,3,5,Title I - Schoolwide
2018,Appomattox County Public Schools,6,Appomattox Primary,250,PK,2,Title I - Schoolwide
2018,Arlington County Public Schools,7,Abingdon Elementary,350,PK,5,Title I - Schoolwide
2018,Arlington County Public Schools,7,Barcroft Elementary,150,PK,5,Title I - Schoolwide
2018,Arlington County Public Schools,7,Barrett Elementary,250,PK,5,Title I - Schoolwide
2018,Arlington County Public Schools,7,Campbell Elementary,615,PK,5,Title I - Schoolwide
2018,Arlington County Public Schools,7,Carlin Springs Elementary,90,PK,5,Title I - Schoolwide
2018,Arlington County Public Schools,7,Drew Model Elementary,200,PK,5,Title I - Schoolwide
2018,Arlington County Public Schools,7,Hoffman-Boston Elementary,614,PK,5,Title I - Schoolwide
2018,Arlington County Public Schools,7,Randolph Elementary,510,PK,5,Title I - Schoolwide
2018,Augusta County Public Schools,8,Cassell Elementary,30,PK,5,Title I - Schoolwide
2018,Augusta County Public Schools,8,Churchville Elementary,140,PK,5,Title I - Schoolwide
2018,Augusta County Public Schools,8,Craigsville Elementary,370,PK,5,Title I - Schoolwide
2018,Augusta County Public Schools,8,Edward G. Clymore Elementary,842,PK,5,Title I - Schoolwide
2018,Augusta County Public Schools,8,Guy K. Stump Elementary,843,PK,5,Title I - Schoolwide
2018,Augusta County Public Schools,8,North River Elementary,40,PK,5,Title I - Schoolwide
2018,Augusta County Public Schools,8,Riverheads Elementary,740,PK,5,Title I - Schoolwide
2018,Augusta County Public Schools,8,Stuarts Draft Elementary,440,PK,5,Title I - Schoolwide
2018,Augusta County Public Schools,8,Wilson Elementary,640,PK,5,Title I - Schoolwide
2018,Bath County Public Schools,9,Millboro Elementary,120,PK,7,Title I - Targeted Assistance
2018,Bath County Public Schools,9,Valley Elementary,150,PK,7,Title I - Targeted Assistance
2018,Bedford County Public Schools,10,Bedford Elementary,480,2,5,Title I - Schoolwide
2018,Bedford County Public Schools,10,Bedford Primary,1200,PK,1,Title I - Schoolwide
2018,Bedford County Public Schools,10,Big Island Elementary,30,PK,5,Title I - Schoolwide
2018,Bedford County Public Schools,10,Goodview Elementary,1214,PK,5,Title I - Schoolwide
2018,Bedford County Public Schools,10,Huddleston Elementary,980,PK,5,Title I - Schoolwide
2018,Bedford County Public Schools,10,Moneta Elementary,970,PK,5,Title I - Schoolwide
2018,Bedford County Public Schools,10,Montvale Elementary,180,PK,5,Title I - Schoolwide
2018,Bedford County Public Schools,10,Stewartsville Elementary,640,PK,5,Title I - Schoolwide
2018,Bland County Public Schools,11,Bland County Elementary ,250,PK,6,Title I - Schoolwide
2018,Botetourt County Public Schools,12,Breckinridge Elementary,220,PK,5,Title I - Targeted Assistance
2018,Botetourt County Public Schools,12,Buchanan Elementary,20,PK,5,Title I - Targeted Assistance
2018,Botetourt County Public Schools,12,Eagle Rock Elementary,30,PK,5,Title I - Targeted Assistance
2018,Botetourt County Public Schools,12,Greenfield Elementary,460,PK,5,Title I - Targeted Assistance
2018,Botetourt County Public Schools,12,Troutville Elementary,40,PK,5,Title I - Targeted Assistance
2018,Bristol City Public Schools,102,Highland View Elementary,60,PK,5,Title I - Schoolwide
2018,Bristol City Public Schools,102,Joseph Van Pelt Elementary,100,PK,5,Title I - Schoolwide
2018,Bristol City Public Schools,102,Stonewall Jackson Elementary,70,PK,5,Title I - Schoolwide
2018,Bristol City Public Schools,102,Washington-Lee Elementary,90,PK,5,Title I - Schoolwide
2018,Brunswick County Public Schools,13,James S. Russell Middle,660,6,8,Title I - Schoolwide
2018,Brunswick County Public Schools,13,Meherrin Powellton Elementary,690,PK,5,Title I - Schoolwide
2018,Brunswick County Public Schools,13,Red Oak-Sturgeon Elementary,700,PK,5,Title I - Schoolwide
2018,Brunswick County Public Schools,13,Totaro Elementary,720,PK,5,Title I - Schoolwide
2018,Buchanan County Public Schools,14,Council Elementary/Middle School,90,PK,7,Title I - Schoolwide
2018,Buchanan County Public Schools,14,Hurley Elementary/Middle,120,PK,7,Title I - Schoolwide
2018,Buchanan County Public Schools,14,Riverview Elementary/Middle,1040,PK,8,Title I - Schoolwide
2018,Buchanan County Public Schools,14,Twin Valley Elementary/Middle,1041,PK,7,Title I - Schoolwide
2018,Buckingham County Public Schools,15,Buckingham Co Elementary,724,3,5,Title I - Schoolwide
2018,Buckingham County Public Schools,15,Buckingham Co Primary,723,KG,2,Title I - Schoolwide
2018,Buena Vista City Public Schools,103,Enderly Heights Elementary,40,3,5,Title I - Schoolwide
2018,Buena Vista City Public Schools,103,F.W. Kling Jr. Elementary,70,PK,2,Title I - Schoolwide
2018,Campbell County Public Schools,16,Altavista Elementary,560,PK,5,Title I - Schoolwide
2018,Campbell County Public Schools,16,Brookneal Elementary,650,PK,5,Title I - Schoolwide
2018,Campbell County Public Schools,16,Concord Elementary,130,PK,5,Title I - Schoolwide
2018,Campbell County Public Schools,16,Leesville Road Elementary,690,PK,5,Title I - Schoolwide
2018,Campbell County Public Schools,16,Rustburg Elementary,821,PK,5,Title I - Schoolwide
2018,Campbell County Public Schools,16,Tomahawk Elementary,60,PK,5,Title I - Schoolwide
2018,Campbell County Public Schools,16,Yellow Branch Elementary,710,PK,5,Title I - Schoolwide
2018,Caroline County Public Schools,17,Bowling Green Elementary,620,PK,5,Title I - Schoolwide
2018,Caroline County Public Schools,17,Madison Elementary,630,PK,5,Title I - Targeted Assistance
2018,Carroll County Public Schools,18,Fancy Gap Elementary,1180,PK,5,Title I - Schoolwide
